                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.96319,                0.86047,                 1.0264,                0.96856,                      1,                  0.995,                 0.6965,                   1.43,                 1.1714,                0.93274,              0.0015961,              0.0015961,              0.0015961
                    104,                 1.0021,                0.95324,                 1.0128,                0.96856,                      1,                  0.995,                 0.6965,                   1.43,                 1.1714,                0.93274,              0.0015921,              0.0015921,              0.0015921
                    105,                 1.2086,                0.98049,                 1.0764,                0.95285,                      1,                  0.995,                  0.597,                 2.0199,                 1.7946,                 1.3369,              0.0015882,              0.0015882,              0.0015882
                    106,                 1.0179,                0.98212,                 1.0062,                0.95285,                      1,                  0.995,                  0.597,                 2.0199,                 1.7946,                 1.3369,              0.0015842,              0.0015842,              0.0015842
                    107,                 1.0007,                0.94102,                0.96732,                0.95285,                      1,                  0.995,                  0.597,                 2.0199,                 1.7946,                 1.3369,              0.0015802,              0.0015802,              0.0015802
                    108,                0.93272,                0.81755,                0.99749,                0.93941,                      1,                  0.995,                 0.8955,                  1.176,                 1.6872,                0.95223,              0.0015763,              0.0015763,              0.0015763
                    109,                 1.0144,                0.96171,                 1.0205,                0.93941,                      1,                  0.995,                 0.8955,                  1.176,                 1.6872,                0.95223,              0.0015723,              0.0015723,              0.0015723
                    110,                0.91802,                0.97703,                0.98822,                0.93941,                      1,                  0.995,                 0.8955,                  1.176,                 1.6872,                0.95223,              0.0015684,              0.0015684,              0.0015684
                    111,                  1.152,                 1.0543,                 1.0648,                0.92905,                      1,                  0.995,                 0.8955,                 1.0849,                 1.3135,                0.89459,              0.0015644,              0.0015644,              0.0015644
                    112,                 1.0718,                0.95697,                0.97221,                0.92905,                      1,                  0.995,                 0.8955,                 1.0849,                 1.3135,                0.89459,              0.0015604,              0.0015604,              0.0015604
                    113,                 1.0913,                 1.0044,                 1.0867,                0.92905,                      1,                  0.995,                 0.8955,                 1.0849,                 1.3135,                0.89459,              0.0015565,              0.0015565,              0.0015565
                    114,                0.95931,                0.86033,                0.96816,                0.93382,                      1,                  0.995,                  0.796,                 1.0131,                 1.0882,                0.87183,              0.0015525,              0.0015525,              0.0015525
                    115,                0.90509,                0.86744,                0.97667,                0.93382,                      1,                  0.995,                  0.796,                 1.0131,                 1.0882,                0.87183,              0.0015486,              0.0015486,              0.0015486
                    116,                0.86871,                 0.8167,                0.96789,                0.93382,                      1,                  0.995,                  0.796,                 1.0131,                 1.0882,                0.87183,              0.0015446,              0.0015446,              0.0015446
                    117,                0.90863,                0.89834,                0.95757,                0.95208,                      1,                  0.995,                  0.796,                0.99647,                0.94836,                0.83767,              0.0015406,              0.0015406,              0.0015406
                    118,                0.93735,                0.99927,                 1.0061,                0.95208,                      1,                  0.995,                  0.796,                0.99647,                0.94836,                0.83767,              0.0015367,              0.0015367,              0.0015367
                    119,                0.91242,                0.87747,                 1.0071,                0.95208,                      1,                  0.995,                  0.796,                0.99647,                0.94836,                0.83767,              0.0015327,              0.0015327,              0.0015327
                    120,                0.92892,                0.94581,                   1.05,                0.96671,                      1,                  0.995,                  0.796,                0.74275,                0.87863,                0.76509,              0.0015288,              0.0015288,              0.0015288
                    121,                0.92408,                0.99017,                  1.013,                0.96671,                      1,                  0.995,                  0.796,                0.74275,                0.87863,                0.76509,              0.0015248,              0.0015248,              0.0015248
                    122,                 1.1078,                 1.0576,                 1.1009,                0.96671,                      1,                  0.995,                  0.796,                0.74275,                0.87863,                0.76509,              0.0015208,              0.0015208,              0.0015208
                    123,                0.92104,                0.90541,                 1.0531,                0.96834,                      1,                  0.995,                 0.8955,                0.82634,                0.78666,                0.77759,              0.0015169,              0.0015169,              0.0015169
                    124,                0.99335,                0.91426,                 1.0079,                0.96834,                      1,                  0.995,                 0.8955,                0.82634,                0.78666,                0.77759,              0.0015129,              0.0015129,              0.0015129
                    125,                0.86547,                0.82621,                 0.9935,                0.96834,                      1,                  0.995,                 0.8955,                0.82634,                0.78666,                0.77759,               0.001509,               0.001509,               0.001509
                    126,                 0.8099,                0.87813,                0.96751,                0.97052,                      1,                  0.995,                 0.6965,                0.90655,                0.62562,                0.81389,               0.001505,               0.001505,               0.001505
                    127,                0.85257,                0.81604,                0.96641,                0.97052,                      1,                  0.995,                 0.6965,                0.90655,                0.62562,                0.81389,               0.001501,               0.001501,               0.001501
                    128,                 1.0411,                0.89314,                 1.0155,                0.97052,                      1,                  0.995,                 0.6965,                0.90655,                0.62562,                0.81389,              0.0014971,              0.0014971,              0.0014971
                    129,                0.94422,                 0.8855,                 1.0119,                0.97104,                      1,                  0.995,                 0.6965,                0.85206,                0.64916,                0.80204,              0.0014931,              0.0014931,              0.0014931
                    130,                0.88445,                0.90397,                 1.0378,                0.97104,                      1,                  0.995,                 0.6965,                0.85206,                0.64916,                0.80204,              0.0014892,              0.0014892,              0.0014892
                    131,                0.93709,                0.92833,                 1.0207,                0.97104,                      1,                  0.995,                 0.6965,                0.85206,                0.64916,                0.80204,              0.0014852,              0.0014852,              0.0014852
                    132,                0.81807,                0.84303,                0.92716,                0.97243,                      1,                  0.995,                  0.796,                0.82601,                0.64116,                0.80662,              0.0014812,              0.0014812,              0.0014812
                    133,                0.94688,                0.97412,                 1.0523,                0.97243,                      1,                  0.995,                  0.796,                0.82601,                0.64116,                0.80662,              0.0014773,              0.0014773,              0.0014773
                    134,                0.85946,                0.81382,                0.99038,                0.97243,                      1,                  0.995,                  0.796,                0.82601,                0.64116,                0.80662,              0.0014733,              0.0014733,              0.0014733
                    135,                0.92521,                0.82812,                0.93509,                0.97231,                      1,                  0.995,                  0.796,                 0.7893,                0.64557,                0.77196,              0.0014694,              0.0014694,              0.0014694
                    136,                0.86922,                0.78133,                0.96399,                0.97231,                      1,                  0.995,                  0.796,                 0.7893,                0.64557,                0.77196,              0.0014654,              0.0014654,              0.0014654
                    137,                0.82128,                0.83685,                 1.0063,                0.97231,                      1,                  0.995,                  0.796,                 0.7893,                0.64557,                0.77196,              0.0014614,              0.0014614,              0.0014614
                    138,                0.91197,                0.86629,                 1.0249,                0.97097,                      1,                  0.995,                 0.8955,                0.75054,                0.69341,                0.74841,              0.0014575,              0.0014575,              0.0014575
                    139,                0.94042,                0.80726,                0.99927,                0.97097,                      1,                  0.995,                 0.8955,                0.75054,                0.69341,                0.74841,              0.0014535,              0.0014535,              0.0014535
                    140,                0.83725,                0.87298,                0.97409,                0.97097,                      1,                  0.995,                 0.8955,                0.75054,                0.69341,                0.74841,              0.0014496,              0.0014496,              0.0014496
                    141,                0.76759,                0.71865,                0.94613,                0.97062,                      1,                  0.995,                  0.796,                0.71905,                0.78226,                0.74753,              0.0014456,              0.0014456,              0.0014456
                    142,                0.89924,                 0.7956,                0.96525,                0.97062,                      1,                  0.995,                  0.796,                0.71905,                0.78226,                0.74753,              0.0014416,              0.0014416,              0.0014416
                    143,                 1.0075,                0.80546,                 1.0138,                0.97062,                      1,                  0.995,                  0.796,                0.71905,                0.78226,                0.74753,              0.0014377,              0.0014377,              0.0014377
                    144,                0.86166,                0.76199,                0.94395,                0.96814,                      1,                  0.995,                  0.796,                0.64716,                0.89253,                0.72452,              0.0014337,              0.0014337,              0.0014337
                    145,                 1.1102,                0.99588,                 1.0433,                0.96814,                      1,                  0.995,                  0.796,                0.64716,                0.89253,                0.72452,              0.0014298,              0.0014298,              0.0014298
                    146,                 0.8551,                0.83431,                0.97239,                0.96814,                      1,                  0.995,                  0.796,                0.64716,                0.89253,                0.72452,              0.0014258,              0.0014258,              0.0014258
                    147,                 0.8392,                0.74362,                0.99095,                0.96257,                      1,                  0.995,                 0.8955,                0.55593,                0.80473,                0.72189,              0.0014218,              0.0014218,              0.0014218
                    148,                0.85786,                0.75045,                0.96069,                0.96257,                      1,                  0.995,                 0.8955,                0.55593,                0.80473,                0.72189,              0.0014179,              0.0014179,              0.0014179
                    149,                 0.9157,                  0.833,                0.96261,                0.96257,                      1,                  0.995,                 0.8955,                0.55593,                0.80473,                0.72189,              0.0014139,              0.0014139,              0.0014139
                    150,                0.72155,                0.74469,                0.94373,                0.96784,                      1,                  0.995,                  0.796,                0.56928,                0.67175,                0.71664,                0.00141,                0.00141,                0.00141
                    151,                0.71712,                0.71981,                0.96901,                0.96784,                      1,                  0.995,                  0.796,                0.56928,                0.67175,                0.71664,               0.001406,               0.001406,               0.001406
                    152,                0.86397,                0.78094,                0.94225,                0.96784,                      1,                  0.995,                  0.796,                0.56928,                0.67175,                0.71664,               0.001402,               0.001402,               0.001402
                    153,                0.88182,                0.79391,                0.96333,                 0.9703,                      1,                  0.995,                  0.796,                0.56303,                0.62421,                0.71429,              0.0013981,              0.0013981,              0.0013981
