                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.65215,                0.67983,                0.99454,                0.86768,                    0.8,                0.76458,                0.51324,                  1.353,                 1.2426,                 1.4681,               0.001064,               0.001064,               0.001064
                    131,                0.71941,                0.85759,                0.99313,                0.87037,                    0.8,                0.76597,                0.53634,                 1.2796,                 1.2477,                 1.4107,              0.0010612,              0.0010612,              0.0010612
                    132,                0.71071,                0.74532,                0.98585,                0.84197,                    0.8,                0.77107,                0.54572,                 1.2826,                 1.2392,                 1.4613,              0.0010583,              0.0010583,              0.0010583
                    133,                0.61949,                0.71489,                0.98894,                0.84197,                    0.8,                0.77107,                0.54572,                 1.2826,                 1.2392,                 1.4613,              0.0010555,              0.0010555,              0.0010555
                    134,                0.76752,                 0.8333,                0.94046,                0.87781,                    0.8,                0.80463,                0.55092,                 1.2281,                 1.2607,                 1.4516,              0.0010527,              0.0010527,              0.0010527
                    135,                0.63998,                0.69775,                0.94174,                0.93323,                 0.7985,                  0.805,                0.55677,                 1.2178,                  1.206,                 1.4511,              0.0010499,              0.0010499,              0.0010499
                    136,                0.70009,                0.62825,                0.97604,                0.93323,                 0.7985,                  0.805,                0.55677,                 1.2178,                  1.206,                 1.4511,               0.001047,               0.001047,               0.001047
                    137,                0.57428,                0.61209,                0.96992,                0.88437,                0.76667,                0.79037,                0.60008,                 1.1773,                 1.1639,                 1.3918,              0.0010442,              0.0010442,              0.0010442
                    138,                  0.708,                0.68623,                0.94661,                0.99566,                0.75989,                 0.7889,                0.61388,                 1.1354,                 1.1025,                 1.3787,              0.0010414,              0.0010414,              0.0010414
                    139,                0.84624,                0.71974,                0.94959,                0.99566,                0.75989,                 0.7889,                0.61388,                 1.1354,                 1.1025,                 1.3787,              0.0010385,              0.0010385,              0.0010385
                    140,                0.64234,                0.65727,                 1.0307,                0.98295,                0.76633,                 0.7912,                0.59465,                 1.1559,                 1.0651,                 1.4403,              0.0010357,              0.0010357,              0.0010357
                    141,                 0.6573,                0.68311,                0.96117,                0.97119,                0.76667,                 0.8171,                0.58706,                 1.2037,                 1.0789,                 1.4331,              0.0010329,              0.0010329,              0.0010329
                    142,                0.61584,                0.62313,                0.92572,                0.97119,                0.76667,                 0.8171,                0.58706,                 1.2037,                 1.0789,                 1.4331,              0.0010301,              0.0010301,              0.0010301
                    143,                0.71084,                0.64799,                0.97584,                0.96981,                0.76667,                0.81813,                0.59648,                 1.1703,                 1.0741,                 1.3865,              0.0010272,              0.0010272,              0.0010272
                    144,                0.75053,                0.72228,                 0.9314,                  0.966,                0.76667,                0.83784,                0.62651,                 1.1802,                 1.0441,                  1.363,              0.0010244,              0.0010244,              0.0010244
                    145,                0.80059,                0.72944,                 1.1657,                  0.966,                0.76667,                0.83784,                0.62651,                 1.1802,                 1.0441,                  1.363,              0.0010216,              0.0010216,              0.0010216
                    146,                0.66743,                0.63203,                 1.0731,                 0.9644,                0.76667,                 0.8334,                0.62678,                 1.1009,                 1.0208,                 1.3329,              0.0010187,              0.0010187,              0.0010187
                    147,                0.64793,                0.62905,                 1.0149,                0.97144,                0.76667,                0.85249,                 0.6211,                 1.1237,                0.98507,                 1.3637,              0.0010159,              0.0010159,              0.0010159
                    148,                0.76306,                0.72132,                0.97364,                0.97144,                0.76667,                0.85249,                 0.6211,                 1.1237,                0.98507,                 1.3637,              0.0010131,              0.0010131,              0.0010131
