                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.50846,                 1.8333,                0.64144,                0.41645,                0.94177,                0.85016,                      1,                0.94786,                0.65499,                0.85016,                      1,                0.94786,                0.50129,                 1.0686,                 2.0487,                0.64442,                 0.7292,                  1.572,              0.0014852,              0.0014852,              0.0014852
                     54,                0.56367,                 1.7013,                0.58392,                0.42853,                0.96632,                0.84727,                      1,                0.94786,                0.72386,                0.84727,                      1,                0.94786,                0.57236,                0.96733,                  1.876,                0.64293,                0.73051,                 1.3381,              0.0014753,              0.0014753,              0.0014753
                     55,                0.53907,                  2.006,                0.62312,                0.42812,                0.97177,                0.84727,                      1,                0.94786,                0.72386,                0.84727,                      1,                0.94786,                0.57236,                0.96733,                  1.876,                0.64293,                0.73051,                 1.3381,              0.0014654,              0.0014654,              0.0014654
                     56,                0.57883,                 2.3519,                0.61719,                0.46385,                0.98912,                 0.9899,                      1,                  0.995,                 0.6849,                 0.9899,                      1,                  0.995,                0.53855,                0.99966,                 2.0359,                0.64475,                0.71005,                 1.3453,              0.0014555,              0.0014555,              0.0014555
                     57,                 0.6087,                 2.2525,                0.61221,                 0.4783,                 1.0245,                0.98715,                      1,                  0.995,                0.70256,                0.98715,                      1,                  0.995,                0.55388,                0.94594,                 2.1259,                0.65246,                0.71673,                 1.3441,              0.0014456,              0.0014456,              0.0014456
                     58,                0.61696,                 1.8613,                0.61233,                0.42663,                0.94389,                0.98715,                      1,                  0.995,                0.70256,                0.98715,                      1,                  0.995,                0.55388,                0.94594,                 2.1259,                0.65246,                0.71673,                 1.3441,              0.0014357,              0.0014357,              0.0014357
                     59,                0.56191,                 1.9267,                0.61761,                0.43989,                0.97529,                0.85498,                      1,                0.97214,                0.71229,                      1,                0.79906,                0.84137,                0.53254,                0.91649,                 2.2547,                0.65006,                0.75271,                 1.4503,              0.0014258,              0.0014258,              0.0014258
                     60,                0.52034,                 1.7402,                0.59353,                 0.4214,                0.92501,                0.84665,                      1,                0.94786,                0.73645,                0.78055,                0.83333,                0.81267,                0.54642,                0.86108,                  2.078,                0.65284,                0.73994,                 1.4093,              0.0014159,              0.0014159,              0.0014159
                     61,                0.60703,                 1.9038,                0.60684,                0.43821,                0.96551,                0.84665,                      1,                0.94786,                0.73645,                0.78055,                0.83333,                0.81267,                0.54642,                0.86108,                  2.078,                0.65284,                0.73994,                 1.4093,               0.001406,               0.001406,               0.001406
                     62,                0.63019,                  2.037,                0.61477,                0.46957,                0.97058,                0.85035,                      1,                0.94786,                0.72795,                0.85035,                      1,                0.97214,                0.57914,                0.82997,                 1.7614,                0.65349,                 0.6585,                 1.2654,              0.0013961,              0.0013961,              0.0013961
                     63,                 0.5109,                 1.2917,                0.59717,                0.42191,                0.90227,                      1,                0.99103,                  0.995,                0.80468,                      1,                0.99103,                  0.995,                0.60363,                0.81338,                 1.6255,                0.65386,                0.60059,                 1.1862,              0.0013862,              0.0013862,              0.0013862
                     64,                0.52669,                 1.9527,                0.59407,                0.40472,                0.98306,                      1,                0.99103,                  0.995,                0.80468,                      1,                0.99103,                  0.995,                0.60363,                0.81338,                 1.6255,                0.65386,                0.60059,                 1.1862,              0.0013763,              0.0013763,              0.0013763
                     65,                0.60342,                 1.8064,                0.59971,                0.47872,                0.97053,                 0.9916,                      1,                  0.995,                0.77652,                 0.9916,                      1,                  0.995,                0.64069,                0.89922,                 1.4804,                0.65998,                0.58269,                 1.2429,              0.0013664,              0.0013664,              0.0013664
                     66,                0.51834,                 1.7266,                0.59134,                0.39606,                0.96556,                0.99017,                      1,                  0.995,                0.76936,                0.99017,                      1,                  0.995,                0.67037,                0.92288,                 1.3791,                0.66704,                0.51255,                 1.2655,              0.0013565,              0.0013565,              0.0013565
                     67,                0.60474,                 1.8124,                0.58556,                0.45991,                0.98493,                0.99017,                      1,                  0.995,                0.76936,                0.99017,                      1,                  0.995,                0.67037,                0.92288,                 1.3791,                0.66704,                0.51255,                 1.2655,              0.0013466,              0.0013466,              0.0013466
                     68,                 0.5759,                 1.6482,                0.60907,                 0.4282,                0.96475,                0.99082,                      1,                  0.995,                0.80095,                0.99082,                      1,                  0.995,                0.65308,                0.89502,                 1.4402,                 0.6698,                0.47621,                 1.2541,              0.0013367,              0.0013367,              0.0013367
                     69,                0.54756,                 1.7261,                0.60247,                0.40447,                0.97441,                0.99058,                      1,                  0.995,                0.78062,                0.99058,                      1,                  0.995,                0.61331,                0.93599,                  1.552,                0.66977,                0.48262,                 1.2842,              0.0013268,              0.0013268,              0.0013268
                     70,                0.60116,                 1.5721,                0.60966,                0.42995,                 1.0552,                0.99058,                      1,                  0.995,                0.78062,                0.99058,                      1,                  0.995,                0.61331,                0.93599,                  1.552,                0.66977,                0.48262,                 1.2842,              0.0013169,              0.0013169,              0.0013169
                     71,                 0.5942,                  1.537,                0.61492,                0.42089,                0.97067,                0.99031,                      1,                  0.995,                0.73032,                0.99031,                      1,                  0.995,                0.67791,                 1.0418,                 1.4233,                0.66854,                0.54042,                 1.3055,               0.001307,               0.001307,               0.001307
                     72,                0.59929,                 1.9013,                0.60163,                0.43719,                0.92178,                0.99045,                      1,                  0.995,                0.71652,                0.99045,                      1,                  0.995,                0.61837,                 1.0846,                 1.5337,                0.66441,                0.67651,                 1.3427,              0.0012971,              0.0012971,              0.0012971
                     73,                0.56113,                 1.9415,                0.59928,                0.44298,                 0.9563,                0.99045,                      1,                  0.995,                0.71652,                0.99045,                      1,                  0.995,                0.61837,                 1.0846,                 1.5337,                0.66441,                0.67651,                 1.3427,              0.0012872,              0.0012872,              0.0012872
                     74,                0.55745,                 1.8275,                0.61146,                0.41292,                0.99887,                0.98973,                      1,                  0.995,                0.73526,                0.98973,                      1,                  0.995,                0.62357,                 1.0967,                 1.6369,                0.66488,                0.75237,                 1.3749,              0.0012773,              0.0012773,              0.0012773
                     75,                0.55555,                 1.8159,                 0.6068,                0.41238,                0.95034,                0.98767,                      1,                  0.995,                0.75959,                0.98767,                      1,                  0.995,                0.67622,                 1.1297,                 1.6027,                0.66431,                0.68313,                 1.4352,              0.0012674,              0.0012674,              0.0012674
