                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.53906,                0.55362,                0.90939,                      1,                0.80245,                0.89147,                0.51526,                  1.373,                 1.2547,                 1.7595,               0.001505,               0.001505,               0.001505
                    127,                0.51412,                0.52499,                0.97761,                      1,                0.80245,                0.89147,                0.51526,                  1.373,                 1.2547,                 1.7595,               0.001501,               0.001501,               0.001501
                    128,                0.85046,                0.87002,                 1.2291,                0.82079,                      1,                0.94786,                0.55419,                 1.2776,                 1.1834,                 1.5283,              0.0014971,              0.0014971,              0.0014971
                    129,                0.55702,                0.53678,                 0.9567,                      1,                 0.9808,                  0.995,                0.71114,                0.93993,                 1.0125,                 1.2973,              0.0014931,              0.0014931,              0.0014931
                    130,                0.60326,                0.55619,                 1.0054,                      1,                 0.9808,                  0.995,                0.71114,                0.93993,                 1.0125,                 1.2973,              0.0014892,              0.0014892,              0.0014892
                    131,                0.55796,                0.54416,                0.99271,                0.83858,                      1,                0.94786,                0.69857,                0.88166,                0.91808,                 1.2708,              0.0014852,              0.0014852,              0.0014852
                    132,                0.57621,                0.51708,                0.93927,                  0.981,                0.83333,                0.97214,                0.72637,                0.93136,                 0.8453,                 1.2742,              0.0014812,              0.0014812,              0.0014812
                    133,                0.60022,                0.62878,                0.91702,                  0.981,                0.83333,                0.97214,                0.72637,                0.93136,                 0.8453,                 1.2742,              0.0014773,              0.0014773,              0.0014773
                    134,                0.60511,                0.61977,                0.91059,                 0.9694,                0.83333,                0.94167,                0.72848,                0.91693,                0.85384,                 1.2929,              0.0014733,              0.0014733,              0.0014733
                    135,                0.63015,                0.69601,                 1.0484,                0.96237,                0.83333,                0.94167,                 0.6705,                0.87279,                0.94897,                 1.3071,              0.0014694,              0.0014694,              0.0014694
                    136,                0.56308,                0.53068,                0.89586,                0.96237,                0.83333,                0.94167,                 0.6705,                0.87279,                0.94897,                 1.3071,              0.0014654,              0.0014654,              0.0014654
                    137,                0.55008,                0.53897,                0.92592,                0.97201,                0.83333,                  0.899,                0.73796,                0.84103,                0.85089,                 1.3762,              0.0014614,              0.0014614,              0.0014614
                    138,                0.66586,                 0.7511,                0.97851,                0.98975,                0.83333,                0.90357,                0.65322,                0.86949,                0.93934,                 1.3814,              0.0014575,              0.0014575,              0.0014575
                    139,                 0.5428,                0.51264,                0.92277,                0.98975,                0.83333,                0.90357,                0.65322,                0.86949,                0.93934,                 1.3814,              0.0014535,              0.0014535,              0.0014535
                    140,                0.63929,                0.68174,                 1.1235,                0.82225,                0.83333,                0.91333,                0.59584,                 1.0301,                 1.1791,                 1.4294,              0.0014496,              0.0014496,              0.0014496
                    141,                0.59996,                0.56275,                 1.0567,                0.97408,                0.83333,                  0.915,                0.62284,                 1.0224,                 1.1612,                  1.363,              0.0014456,              0.0014456,              0.0014456
                    142,                0.63243,                0.62032,                0.96696,                0.97408,                0.83333,                  0.915,                0.62284,                 1.0224,                 1.1612,                  1.363,              0.0014416,              0.0014416,              0.0014416
                    143,                0.62992,                0.53794,                 1.0272,                0.99857,                0.83333,                0.97214,                0.61604,                 1.0081,                 1.2563,                 1.2794,              0.0014377,              0.0014377,              0.0014377
                    144,                 0.4849,                0.49739,                 0.9179,                0.82922,                0.81275,                0.79967,                0.56163,                 1.0573,                 1.0977,                 1.2888,              0.0014337,              0.0014337,              0.0014337
                    145,                0.50977,                0.48851,                0.89364,                0.82922,                0.81275,                0.79967,                0.56163,                 1.0573,                 1.0977,                 1.2888,              0.0014298,              0.0014298,              0.0014298
                    146,                0.46147,                0.45306,                0.86406,                 0.7832,                0.66667,                0.76172,                0.56412,                0.88357,                 1.1422,                 1.1741,              0.0014258,              0.0014258,              0.0014258
                    147,                0.64013,                0.58887,                0.97126,                0.91959,                0.83333,                  0.899,                0.58903,                 0.7996,                 1.1779,                 1.1554,              0.0014218,              0.0014218,              0.0014218
                    148,                0.47234,                0.42983,                0.88109,                0.91959,                0.83333,                  0.899,                0.58903,                 0.7996,                 1.1779,                 1.1554,              0.0014179,              0.0014179,              0.0014179
                    149,                0.55044,                0.48621,                0.87789,                0.95521,                0.83333,                  0.931,                 0.6754,                0.72768,                 1.1272,                 1.0871,              0.0014139,              0.0014139,              0.0014139
                    150,                0.39836,                0.53012,                0.85902,                0.73881,                      1,                0.92667,                0.70542,                0.77074,                 1.0795,                 1.1014,                0.00141,                0.00141,                0.00141
